Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
277,Purdue University,Hewlett-Packard,"Cluster Platform 3000 DL165, Opteron 2.5 GHz, 10GigE",United States,2010,7944,52192.1,79440.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,HP Cluster Platform 3000,HP DL165 Cluster,Linux,None,Cluster,Academic,Research,Gigabit Ethernet,10G Ethernet,North America,Americas
278,ETH Zuerich,Oracle,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR",Switzerland,2009,6464,51880.0,64640.0,1032192,0,152.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,Sun Blade System,Sun Blade x6440,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
304,SARA (Stichting Academisch Rekencentrum),IBM,"Power 575, p6 4.7 GHz, Infiniband",Netherlands,2009,3456,50923.9,64972.8,0,0,552.0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,Linux,None,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
308,Kyoto University,Fujitsu,"Fujitsu Cluster HX600, Opteron Quad Core, 2.3 GHz, Infiniband",Japan,2008,6656,50510.0,61235.0,1223040,215000,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Fujitsu Cluster,Fujitsu Cluster,Redhat Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Eastern Asia,Asia
311,Kyushu University,Fujitsu,"PRIMERGY RX200 S6, Xeon X5670 2.93 GHz, Infiniband QDR",Japan,2011,4704,50190.0,55130.0,1435392,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,Fujitsu Cluster,PRIMERGY RX200 S6,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
315,University of Zuerich,Oracle,"Sun Blade x6275, Xeon X55xx 2.8 Ghz, Infiniband QDR",Switzerland,2009,4600,49590.0,51520.0,1127280,0,218.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade x6275,SUSE Linux Enterprise Server 10,None,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
343,Ecole Polytechnique Federale de Lausanne,IBM,Blue Gene/P Solution,Switzerland,2009,16384,47725.0,55706.0,933887,0,126.0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe
350,"University of British Columbia - Cancer Center, Genome Science Center",IBM,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband",Canada,2010,5040,47325.7,53625.6,0,0,118.13,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
353,Moscow State University - Research Computing Center,SKIF/T-Platforms,"T-Platforms T60, Intel Quadcore 3Ghz, Infiniband DDR",Russia,2008,5000,47170.0,60000.0,750000,0,265.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,T-Platforms Cluster,T-Platforms T60 Cluster,CentOS,None,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
354,National Supercomputer Centre (NSC),Hewlett-Packard,"Cluster Platform 3000 DL140 Cluster, Xeon 53xx 2.33GHz Infiniband",Sweden,2008,6440,47030.0,60020.8,1158000,200000,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,HP Cluster Platform 3000,Cluster Platform 3000 DL140,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
372,HPC2N - Umea University,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS",Sweden,2008,5376,46040.0,53760.0,1113600,150000,173.21,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Windows HPC 2008,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
379,Ohio Supercomputer Center,IBM,"xSeries x3455 Cluster Opteron, DC 2.6 GHz/QC 2.5 GHz, Infiniband",United States,2009,9304,45730.0,73072.0,1200000,0,637.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,IBM xSeries,xSeries x3455 Cluster Opteron,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
407,Universitaet Regensburg,IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500.0,55705.6,487551,0,57.54,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,IBM PowerXCell 8i,Cluster,Academic,Not Specified,Custom,Custom,Western Europe,Europe
408,Universitaet Wuppertal,IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500.0,55705.6,487551,0,57.54,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,IBM PowerXCell 8i,Cluster,Academic,Not Specified,Custom,Custom,Western Europe,Europe
430,Nagasaki University,Self-made,"DEGIMA Cluster, Intel i5, ATI Radeon GPU, Infiniband QDR",Japan,2011,7920,42830.0,111150.0,524800,0,31.13,Intel Core,Intel Core Core i3,2930,2,NOW - Intel,DEGIMA Cluster,Linux,ATI GPU,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
450,Tomsk State University,T-Platforms,"T-Platforms T-Blade 1.1/2.0, Xeon X5670 2,93 GHz, Infiniband",Russia,2011,4296,41840.0,50349.0,680063,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,T-Platforms Cluster,T-Platforms Cluster,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Europe,Europe
487,University of Bergen,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,Norway,2008,5550,40590.0,51060.0,0,0,274.73,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,None,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
498,University of Kentucky,Dell,"PowerEdge C6100 Cluster, Xeon X5650 2.66 Ghz, Infiniband",United States,2010,4428,40310.0,47114.0,1100000,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Dell PowerEdge Cluster,PowerEdge C6100 Cluster,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
