Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
6,4.0,60,4,Leonardo,"BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 64 GB, Quad-rail NVIDIA HDR100 Infiniband",EuroHPC/CINECA,EVIDEN,Italy,2023,Academic,1824768,1714176.0,238700.0,304465.92,10216800.0,,3113.94,7404.4,Submitted,32.23758846,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,2600,Linux,Linux,NVIDIA A100 SXM4 64 GB,32,Xeon Platinum 83xx (Ice Lake),BullSequana XH2000,BullSequana,Infiniband,Quad-rail NVIDIA HDR100 Infiniband,Europe,50944,180128
17,12.0,59,10,Adastra,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),HPE,France,2022,Academic,319072,297440.0,46100.0,61607.94,4492800.0,,562.01,921.48,Submitted,50.02821548,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,50203,180051
20,,62,20,Shaheen III - CPU,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",King Abdullah University of Science and Technology,HPE,Saudi Arabia,2023,Academic,877824,,35658.3,39607.42,10898196.0,,651.464,5301.0,Submitted,6.726711941,,MPP,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),2400,HPE Cray OS,Linux,None,96,AMD Zen-4 (Genoa),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Asia,50205,180179
29,21.0,53,5,Frontera,"Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR",Texas Advanced Computing Center/Univ. of Texas,DELL EMC,United States,2019,Academic,448448,,23516.4,38745.907,9262848.0,,,,,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,2700,CentOS Linux 7,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Infiniband,Mellanox InfiniBand HDR,North America,48958,179607
33,25.0,57,13,Wisteria/BDEC-01 (Odyssey),"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2021,Academic,368640,,22121.0,25952.26,4853760.0,,817.577,1468.0,Submitted,15.06880109,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,50096,179962
35,26.0,55,9,Marconi-100,"IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband",CINECA,IBM,Italy,2019,Academic,347776,316160.0,21640.0,29354.0,2722137.0,,498.425,1476.0,Submitted,14.66124661,,Cluster,IBM POWER9 16C 3GHz,Power,3000,RHEL 7.6,Linux,Nvidia Volta V100,16,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,47495,179845
40,31.0,52,8,SuperMUC-NG,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Leibniz Rechenzentrum,Lenovo,Germany,2018,Academic,305856,,19476.6,26873.856,8402688.0,,207.844,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,3100,SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Xeon Platinum (Skylake),ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,48248,179566
41,,62,41,Dawn,"Dell PowerEdge XE9640, Xeon Platinum 8468 48C 2.1GHz, Intel Data Center GPU Max 1550, Infiniband HDR200",University of Cambridge,DELL EMC,United Kingdom,2023,Academic,156864,132096.0,19458.3,53852.24,3932928.0,1966464.0,,,,,,Cluster,Xeon Platinum 8468 48C 2.1GHz,Intel Sapphire Rapids,2100,Rocky Linux 8.8,Linux,Intel Data Center GPU Max 1550,48,Xeon Platinum (Sapphire Rapids),Dell PowerEdge XE9640,Dell PowerEdge Cluster,Infiniband,Infiniband HDR200,Europe,49143,180202
50,,62,50,AOBA-S,"SX-Aurora TSUBASA B401-8, Vector Engine Type 30A 16C 1.6GHz, Infiniband NDR 200","Cyberscience Center, Tohoku University",NEC,Japan,2023,Academic,64512,,17221.0,19818.09,6801408.0,,1089.0,1388.81,Submitted,12.39982431,,Cluster,Vector Engine Type 30A 16C 1.6GHz,NEC Vector Engine,1600,VEOS,Linux,None,16,Vector Engine,SX-Aurora TSUBASA B401-8,SX-Aurora TSUBASA,Infiniband,Infiniband NDR200,Asia,50990,180217
51,40.0,57,22,HiPerGator AI,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",University of Florida,Nvidia,United States,2021,Academic,138880,120960.0,17200.0,21314.72,3450528.0,,424.4344,582.63,Submitted,29.52130855,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Ubuntu 20.04.2 LTS,Linux,NVIDIA A100,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,North America,49751,179940
52,,62,52,SuperMUC-NG Phase 2,"ThinkSystem SD650-I V3, Xeon Platinum 8480L 56C 2GHz, Intel Data Center GPU Max, Infiniband HDR",Leibniz Rechenzentrum,Lenovo,Germany,2023,Academic,149760,122880.0,17190.5,27957.42,3612672.0,,,725.9,Submitted,23.68163659,,Cluster,Xeon Platinum 8480L 56C 2GHz,Intel Sapphire Rapids,2000,SLES15 SP4,Linux,Intel Data Center GPU Max,56,Xeon Platinum (Sapphire Rapids),ThinkSystem SD650-I V3,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Europe,48248,180182
70,56.0,49,12,Stampede2,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",Texas Advanced Computing Center/Univ. of Texas,DELL EMC,United States,2017,Academic,367024,,10680.7,18309.222,8242944.0,,,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,CentOS,Linux,None,68,Intel Xeon Phi,PowerEdge C6320P,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,48958,179045
83,69.0,55,24,Gadi,"PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband",National Computational Infrastructure (NCI Australia),Fujitsu / Lenovo,Australia,2020,Academic,204032,51200.0,9264.31,15142.1952,7150464.0,,,,,,,Cluster,Xeon Platinum 8274 24C 3.2GHz,Intel Cascade lake,3200,CentOS,Linux,NVIDIA Tesla V100 SXM2,24,Xeon Platinum 82xx (Cascade Lake),PRIMERGY CX2570 M5,Fujitsu PRIMERGY,Infiniband,Mellanox HDR Infiniband,Oceania,47369,179865
84,70.0,61,70,Goethe-NHR,"Supermicro AS-4124GS-TNR, AMD EPYC 7452 32C 2.35GHz, AMD Instinct MI210 64 GB, Mellanox InfiniBand EDR",Universitaet Frankfurt,MEGWARE / Supermicro,Germany,2023,Academic,96768,89856.0,9087.0,19344.19,2620800.0,1497600.0,,195.24,Submitted,46.54271666,,Cluster,AMD EPYC 7452 32C 2.35GHz,AMD Zen-2 (Rome),2350,Linux,Linux,AMD Instinct MI210 64 GB,32,AMD Zen-2 (Rome),Supermicro AS-4124GS-TNR,Supermicro SuperServer,Infiniband,Mellanox InfiniBand EDR,Europe,49083,180175
91,76.0,54,24,AiMOS,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",Rensselaer Polytechnic Institute Center for Computational Innovations (CCI),IBM,United States,2019,Academic,130000,120000.0,8339.0,11032.032,3809280.0,,,512.08,Submitted,16.28456491,,Cluster,IBM POWER9 20C 3.45GHz,Power,3450,RHEL 7.6,Linux,NVIDIA Volta GV100,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,50823,179781
92,77.0,60,68,Dardel GPU,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",KTH - Royal Institute of Technology,HPE,Sweden,2022,Academic,52864,49280.0,8259.0,10207.23,1911168.0,,94.068,146.2,Submitted,56.49110807,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,48188,180126
95,80.0,49,62,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,135828,120736.0,8125.0,12127.069,2126208.0,,188.62,792.08,Submitted,10.25780224,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 NVLink,14,Intel Xeon E5 (Broadwell),"SGI ICE XA (HPE SGI 8600), IP139-SXM2",HPE SGI 8600,Omnipath,Intel Omni-Path,Asia,47912,179093
97,82.0,57,52,HoreKa-Green,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",Karlsruher Institut für Technologie (KIT) ,Lenovo,Germany,2021,Academic,90932,77328.0,8025.6,15006.79,1915200.0,,,358.79,Submitted,22.3685164,,Cluster,Xeon Platinum 8368 38C 2.4GHz,Intel Ice Lake,2400,Linux,Linux,NVIDIA Tesla A100 40G,38,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,50444,179965
101,,62,101,Leonardo-CPU,"EVIDEN BullSequana XH2000, Xeon Platinum 8480L 56C 2GHz, InfiniBand HDR 100",EuroHPC/CINECA,EVIDEN,Italy,2023,Academic,172032,,7841.57,9433.09,8754048.0,,95.8655,1118.37,Submitted,7.011606177,,Cluster,Xeon Platinum 8480L 56C 2GHz,Intel Sapphire Rapids,2000,RedHat Enterprise Linux,Linux,None,56,Xeon Platinum (Sapphire Rapids),EVIDEN BullSequana XH2000,EVIDEN BullSequana,Infiniband,InfiniBand HDR100,Europe,50944,180204
113,95.0,58,71,"Karolina, GPU partition","Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czechia,2021,Academic,71424,62208.0,6752.0,9080.18,1710720.0,,185.844,310.99,Submitted,21.71130905,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,CentOS,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Infiniband HDR200,Europe,50561,180026
114,,62,114,Camphor 3,"DELL PowerEdge C6620, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",NEC / DELL,Japan,2023,Academic,125440,,6708.13,7626.75,3841920.0,,162.502,1026.64,Submitted,6.534062573,,Cluster,Xeon CPU Max 9480 56C 1.9GHz,Intel Sapphire Rapids,1900,Red Hat Enterprise Linux,Linux,None,56,Intel Xeon Max,DELL PowerEdge C6620,Dell PowerEdge Cluster,Infiniband,Infiniband NDR,Asia,50516,180226
120,97.0,55,36,Flow,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D","Information Technology Center, Nagoya University",Fujitsu,Japan,2020,Academic,110592,,6617.8,7785.6768,2621440.0,,230.594,,,,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,50495,179808
121,98.0,49,13,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Barcelona Supercomputing Center,Lenovo,Spain,2017,Academic,153216,,6470.8,10296.115,5990400.0,,122.242,1632.0,Submitted,3.96495098,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,SUSE Linux,Linux,None,24,Xeon Platinum (Skylake),ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,49748,179067
130,104.0,57,67,SQUID - CPU Nodes,"NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200",Osaka University,NEC,Japan,2021,Academic,115520,,6105.1,8871.94,6558880.0,,82.8749,1222.2,Submitted,4.99517264,,Cluster,Xeon Platinum 8368 38C 2.4GHz,Intel Ice Lake,2400,CentOS,Linux,None,38,Xeon Platinum 83xx (Ice Lake),NEC LX 103Bj-8,NEC Cluster,Infiniband,Infiniband HDR200,Asia,48585,179934
131,105.0,54,40,Lise,"Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",HLRN at ZIB/Konrad Zuse-Zentrum Berlin,EVIDEN,Germany,2019,Academic,121920,,6048.26,8930.92,6935040.0,,,,,,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,2300,CentOS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),Bull intel Cluster,Bull Cluster,Omnipath,Intel Omni-Path,Europe,49361,179702
