Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
278,,"xSeries x3650M3, Xeon X56xx 2.66 GHz, GigE",Financial Institution,IBM,Japan,2011,Industry,11640,0,65591.71,123849.6,52.96,0,0,360.84,181.78,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
280,,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Service Provider,IBM,Japan,2011,Industry,11628,0,65524.0,123722.0,52.96,0,0,360.47,181.77,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
281,,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Service Provider,IBM,Japan,2011,Industry,11628,0,65524.0,123722.0,52.96,0,0,360.47,181.77,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
282,,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Service Provider,IBM,Japan,2011,Industry,11628,0,65524.0,123722.0,52.96,0,0,360.47,181.77,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
283,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,11604,0,65389.0,117432.0,55.68,0,0,351.99,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
284,,NNSA/SC Blue Gene/Q Prototype 1,IBM Thomas J. Watson Research Center,IBM,United States,2010,Research,8192,0,65347.0,104857.6,62.32,434175,0,38.67,1689.86,MPP,BQC 16C 1.60GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom,North America,Americas
285,,"Cluster Platform 3000 BL460c G7, Xeon X5660 6C 2.80 GHz, 10G Ethernet",Gaming Company,Hewlett-Packard,Ireland,2011,Industry,8064,0,64938.0,90316.8,71.9,0,0,,,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,Northern Europe,Europe
286,,"Cluster Platform 3000 BL460c G7, Xeon X5660 6C 2.80 GHz, 10G Ethernet",Gaming Company,Hewlett-Packard,Ireland,2011,Industry,8064,0,64938.0,90316.8,71.9,0,0,,,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,Northern Europe,Europe
287,,"Cluster Platform 3000 BL460c G7, Xeon X5660 6C 2.80 GHz, 10G Ethernet",Gaming Company,Hewlett-Packard,Ireland,2011,Industry,8064,0,64938.0,90316.8,71.9,0,0,,,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,Northern Europe,Europe
288,,"BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR",Defence,IBM,Australia,2011,Government,9280,0,64860.0,89088.0,72.8,0,0,226.2,286.74,Cluster,Xeon E7-4870 10C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,10,Xeon E7-48xx (Westmere-EX),BladeCenter HX5,IBM BladeCenter,Infiniband,Infiniband QDR,Australia and New Zealand,Oceania
291,,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",Financial Institution (),IBM,Belgium,2010,Industry,16704,0,64597.0,151471.87,42.65,0,0,480.24,134.51,Cluster,Xeon E5520 4C 2.27GHz,Intel EM64T,2267,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
292,,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE",Service Provider,IBM,Japan,2011,Industry,14432,0,64596.0,130869.38,49.36,0,0,633.2,102.02,Cluster,Xeon E5520 4C 2.27GHz,Intel EM64T,2267,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries x3650M2 Cluster Xeon QC,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
293,,"BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet",IT Service Provider (B),IBM,United States,2011,Industry,11400,0,64490.0,115368.0,55.9,0,0,360.42,178.93,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
294,,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",IT Service Provider (B),IBM,United States,2011,Industry,11400,0,64490.0,115368.0,55.9,0,0,360.42,178.93,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
295,,"BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet",Network Company,IBM,China,2011,Industry,11424,0,64375.0,115611.0,55.68,0,0,291.38,220.93,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
297,,"BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Government,IBM,United States,2011,Government,11340,0,64150.0,132904.8,48.27,0,0,318.2,201.6,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
298,,"Rackable C1103-G15, Opteron 6234 12C 2.40 GHz, Infiniband QDR","Poznan Supercomputing and Networking Center, Institute of Bioorganic Chemistry",SGI,Poland,2011,Research,5640,3024,63890.0,136353.6,46.86,589824,0,,,Cluster,Opteron 6234 12C 12C 2.40GHz,AMD x86_64,2400,Linux,Linux,NVIDIA 2050,12,Opteron 6200 Series,Rackable C1103-G15,Rackable Cluster,Infiniband,Infiniband QDR,Eastern Europe,Europe
300,,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",Financial Services (H),IBM,United States,2011,Industry,13280,0,63828.0,120051.2,53.17,0,0,435.75,146.48,Cluster,Xeon L5520 4C 2.26GHz,Intel EM64T,2260,Linux,Linux,None,4,Xeon L55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
301,,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",Financial Services (H),IBM,United States,2011,Industry,13280,0,63828.0,120051.2,53.17,0,0,435.75,146.48,Cluster,Xeon L5520 4C 2.26GHz,Intel EM64T,2260,Linux,Linux,None,4,Xeon L55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
302,,"xSeries x3850M2 Cluster Xeon QC GT 2.53 GHz, GigEthernet",Banking (M),IBM,United States,2011,Industry,11264,0,63720.0,113992.0,55.9,0,0,323.84,196.76,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries x3850 Cluster Xeon quad core,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
303,,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Network Company (B),IBM,United States,2011,Industry,11304,0,63698.0,120275.0,52.96,0,0,350.42,181.78,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
304,,"Cluster Platform 3000 BL280c G6, Xeon X5670 2.93Ghz, Infiniband QDR",Saudi Aramco,Hewlett-Packard,Saudi Arabia,2010,Industry,6144,0,63420.0,72007.0,88.07,1130112,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL280c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Western Asia,Asia
305,PLCI,"Dell PowerEdge M610 Cluster, Xeon X5670 2.93Ghz, Infiniband QDR",Saudi Aramco,ClusterVision/Dell,Saudi Arabia,2010,Industry,6144,0,63150.0,72007.0,87.7,1048704,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),PowerEdge M610 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,Western Asia,Asia
306,,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE",Arrow Enterprise Computing Solutions,Hewlett-Packard,United States,2011,Industry,10314,0,63144.4,120880.1,52.24,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
307,,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet",Engineering Company,IBM,China,2011,Industry,11144,0,63042.0,118572.16,53.17,0,0,365.66,172.41,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
308,,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet",Engineering Company,IBM,China,2010,Industry,11144,0,63042.0,118572.16,53.17,0,0,365.66,172.41,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
309,,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet",Engineering Company,IBM,China,2011,Industry,11144,0,63042.0,118572.16,53.17,0,0,365.66,172.41,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
310,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40 GHz, Gigabit Ethernet",Telecommunication Company,Hewlett-Packard,Japan,2011,Industry,12640,0,62822.0,121344.0,51.77,0,0,,,Cluster,Xeon E5645 6C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
311,,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",Financial Institution (P),IBM,France,2011,Industry,13056,0,62751.0,118026.0,53.17,0,0,375.36,167.18,Cluster,Xeon E5520 4C 2.27GHz,Intel EM64T,2267,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
312,,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband",Banking (M),IBM,United States,2010,Industry,6808,0,62729.52,72600.51,86.4,0,0,298.0,210.5,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),xSeries x3650 Cluster Xeon quad core,IBM xSeries,Infiniband,Infiniband,North America,Americas
313,,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",IT Services Provider (C),IBM,United States,2011,Industry,11048,0,62498.0,111805.76,55.9,0,0,349.3,178.92,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
314,,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",IT Services Provider (C),IBM,United States,2011,Industry,11048,0,62498.0,111805.76,55.9,0,0,349.3,178.92,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
315,,"BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Telecommunication Company,IBM,China,2011,Industry,11016,0,62317.0,129108.0,48.27,0,0,309.1,201.61,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
316,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",Electronics,IBM,United States,2011,Industry,6576,0,62244.0,69968.64,88.96,0,0,175.67,354.32,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
317,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",Electronics,IBM,United States,2011,Industry,6576,0,62244.0,69968.64,88.96,0,0,175.67,354.32,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
318,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Banking (M),IBM,United States,2011,Industry,11028,0,62143.0,129248.0,48.08,0,0,351.06,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
319,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Banking (M),IBM,United States,2011,Industry,11028,0,62143.0,129248.0,48.08,0,0,351.06,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
320,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Banking (M),IBM,United States,2011,Industry,11028,0,62143.0,129248.0,48.08,0,0,351.06,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
321,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Banking (M),IBM,United States,2011,Industry,11028,0,62143.0,129248.0,48.08,0,0,351.06,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
322,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Banking (M),IBM,United States,2011,Industry,11028,0,62143.0,129248.0,48.08,0,0,351.06,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
323,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Banking (M),IBM,United States,2011,Industry,11028,0,62143.0,129248.0,48.08,0,0,351.06,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
324,,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE",IT Service Provider,Hewlett-Packard,United States,2011,Industry,10110,0,61943.8,118489.2,52.28,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
325,,"Cluster Platform 4000 BL465c G7, Opteron 6174 12C 2.20 GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,13632,0,61810.0,119961.6,51.52,0,0,,,Cluster,Opteron 6174 12C 2.20GHz,AMD x86_64,2200,Linux,Linux,None,12,Opteron 12 Core,Cluster Platform 4000 BL465c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
327,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",IT Service Provider,Hewlett-Packard,United States,2010,Industry,10056,0,61625.7,117856.3,52.29,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
330,Todi,"Cray XK6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect, NVIDIA 2090",Swiss Scientific Computing Center (CSCS),Cray Inc.,Switzerland,2011,Research,5632,2816,60810.0,140694.4,43.22,0,0,,,Cluster,Opteron 6272 16C 2.10GHz,AMD x86_64,2100,Cray Linux Environment ,Linux,NVIDIA 2090,16,Opteron 6200 Series,Cray XK6,Cray XK9,Cray Interconnect,Cray Gemini interconnect,Western Europe,Europe
331,,"iDataPlex DX360M3, Xeon X5660 6C 2.80 GHz, Infiniband QDR",NASA/Goddard Space Flight Center,IBM,United States,2011,Research,6144,0,60729.0,68813.0,88.25,0,0,144.0,421.73,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
332,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",Lockheed Martin,IBM,United States,2011,Industry,6372,0,60313.0,67798.0,88.96,0,0,170.22,354.32,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
333,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",Lockheed Martin,IBM,United States,2011,Industry,6372,0,60313.0,67798.0,88.96,0,0,170.22,354.32,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
334,,"Cluster Platform 3000 SL2x170z, Xeon L5680 3.33 GHz, Infiniband",IT Service Provider,Hewlett-Packard,United States,2011,Industry,5760,0,60193.0,76723.2,78.45,0,0,,,Cluster,Xeon X5260 2C 3.33GHz,Intel Core,3330,Linux,Linux,None,2,Xeon X52xx (Wolfdale),Cluster Platform SL2x170z,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
335,,"Cluster Platform 3000 SL2x170z, Xeon L5680 3.33 GHz, Infiniband",IT Service Provider,Hewlett-Packard,United States,2011,Industry,5760,0,60193.0,76723.2,78.45,0,0,,,Cluster,Xeon X5260 2C 3.33GHz,Intel Core,3330,Linux,Linux,None,2,Xeon X52xx (Wolfdale),Cluster Platform SL2x170z,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
336,,"Cluster Platform 3000 SL2x170z, Xeon L5680 3.33 GHz, Infiniband",IT Service Provider,Hewlett-Packard,United States,2011,Industry,5760,0,60193.0,76723.2,78.45,0,0,,,Cluster,Xeon X5260 2C 3.33GHz,Intel Core,3330,Linux,Linux,None,2,Xeon X52xx (Wolfdale),Cluster Platform SL2x170z,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
337,,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE",IT Service Provider,Hewlett-Packard,United Kingdom,2011,Industry,9768,0,59926.7,114481.0,52.35,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
338,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40 GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,Russia,2011,Industry,12024,0,59903.0,115430.4,51.9,0,0,,,Cluster,Xeon E5645 6C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
339,bluefire,"Power 575, p6 4.7 GHz, Infiniband",NCAR (National Center for Atmospheric Research),IBM,United States,2008,Research,4064,0,59684.14,76403.2,78.12,0,0,649.0,91.96,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,North America,Americas
340,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,United States,2011,Industry,10752,0,59640.0,114401.28,52.13,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
341,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,United States,2011,Industry,10752,0,59640.0,114401.28,52.13,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
342,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,United States,2011,Industry,10752,0,59640.0,114401.28,52.13,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
343,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Infiniband QDR",IT Services Provider ,Hewlett-Packard,Japan,2011,Industry,6204,0,59474.0,75936.96,78.32,0,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Eastern Asia,Asia
344,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Infiniband QDR",IT Services Provider ,Hewlett-Packard,Japan,2011,Industry,6204,0,59474.0,75936.96,78.32,0,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Eastern Asia,Asia
345,,"Cluster Platform 3000 BL2x220, L54xx 2.33 Ghz, GigE",Web Content Provider (W),Hewlett-Packard,United States,2009,Industry,12288,0,59372.0,114671.62,51.78,0,0,,,Cluster,Xeon L5410 4C 2.33GHz,Intel Core,2333,Linux,Linux,None,4,Xeon L54xx (Harpertown),Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
346,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",Financial Services (H),IBM,United States,2011,Industry,10452,0,59126.9,122497.44,48.27,0,0,293.28,201.61,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
347,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",Financial Services (H),IBM,United States,2011,Industry,10452,0,59126.9,122497.44,48.27,0,0,293.28,201.61,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
348,,"Cluster Platform 3000 BL 2x220, Xeon L5420 4C 2.50 GHz, Gigabit Ethernet",Grupa Allegro,Hewlett-Packard,Poland,2011,Industry,10748,0,59114.0,107480.0,55.0,0,0,,,Cluster,Xeon L5420 4C 2.50GHz,Intel Core,2500,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
