Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
1,1.0,41,1,Tianhe-2 (MilkyWay-2),"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P",National Super Computer Center in Guangzhou,NUDT,China,2013,Research,3120000,2736000,33862700.0,54902400.0,9960000,0,17808.0,1901.54,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,2200,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Eastern Asia,Asia
2,2.0,40,1,Titan,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x",DOE/SC/Oak Ridge National Laboratory,Cray Inc.,United States,2012,Research,560640,261632,17590000.0,27112550.0,0,0,8209.0,2142.77,MPP,Opteron 6274 16C 2.2GHz,AMD x86_64,2200,Cray Linux Environment ,Linux,NVIDIA K20x,16,"Opteron 6200 Series ""Interlagos""",Cray XK7 ,Cray XK,Cray Interconnect,Cray Gemini interconnect,North America,Americas
3,3.0,38,17,Sequoia,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",DOE/NNSA/LLNL,IBM,United States,2011,Research,1572864,0,17173224.0,20132659.2,0,0,7890.0,2176.58,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
4,4.0,37,1,,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",RIKEN Advanced Institute for Computational Science (AICS),Fujitsu,Japan,2011,Research,705024,0,10510000.0,11280384.0,11870208,0,12659.89,830.18,Cluster,SPARC64 VIIIfx 8C 2GHz,Sparc,2000,Linux,Linux,None,8,SPARC64 VIIIfx,K computer,Fujitsu Cluster,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
5,5.0,39,3,Mira,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/SC/Argonne National Laboratory,IBM,United States,2012,Research,786432,0,8586612.0,10066330.0,0,0,3945.0,2176.58,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
6,6.0,40,114,Piz Daint,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x",Swiss National Supercomputing Centre (CSCS),Cray Inc.,Switzerland,2012,Research,115984,73808,6271000.0,7788852.8,4128768,0,2325.0,2697.2,MPP,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Cray Linux Environment ,Linux,NVIDIA K20x,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
8,8.0,39,8,JUQUEEN,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Forschungszentrum Juelich (FZJ),IBM,Germany,2012,Research,458752,0,5008857.0,5872025.6,0,0,2301.0,2176.82,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
9,9.0,39,48,Vulcan,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",DOE/NNSA/LLNL,IBM,United States,2012,Research,393216,0,4293306.0,5033165.0,0,0,1972.0,2177.13,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
10,,43,10,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",Government,Cray Inc.,United States,2014,Government,225984,0,3143520.0,4881254.4,2541684,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
11,,43,11,HPC2,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Exploration & Production - Eni S.p.A.,IBM,Italy,2014,Industry,62640,36540,3003000.0,4006350.0,3838464,0,1067.49,2813.14,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe
14,12.0,36,1,Tianhe-1A,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",National Supercomputing Center in Tianjin,NUDT,China,2010,Research,186368,100352,2566000.0,4701000.0,3600000,1000000,4040.0,635.15,MPP,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia
15,13.0,42,13,cascade,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",DOE/SC/Pacific Northwest National Laboratory,Atipa Technology,United States,2013,Research,194616,171720,2539130.0,3388032.0,4032000,0,1384.0,1834.63,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Atipa Visione IF442 Blade Server,Atipa Cluster,Infiniband,Infiniband FDR,North America,Americas
16,14.0,41,11,Pangea,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Total Exploration Production,SGI,France,2013,Industry,110400,0,2098090.0,2296320.0,3862528,0,2118.0,990.6,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Western Europe,Europe
18,,43,18,Edison,"Cray XC30, Intel Xeon E5-2695v2 12C 2.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray Inc.,United States,2014,Research,133824,0,1654702.0,2569420.8,0,0,,,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
19,,43,19,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",ECMWF,Cray Inc.,United Kingdom,2014,Research,83160,0,1552000.0,1796256.0,4307352,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
20,,43,20,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",ECMWF,Cray Inc.,United Kingdom,2014,Research,83160,0,1552000.0,1796256.0,4307352,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
21,16.0,37,7,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2  2.6/2.8GHz, Infiniband FDR",NASA/Ames Research Center/NAS,SGI,United States,2011,Research,96192,0,1541290.0,2107000.0,3694336,0,2015.14,764.86,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,SUSE Linux Enterprise Server 11,Linux,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
22,17.0,42,17,,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM Development Engineering,IBM,United States,2013,Vendor,63360,0,1515000.0,1944391.68,2280960,0,3575.63,423.7,MPP,POWER7 8C 3.84GHz,Power,3836,Linux,Linux,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,Americas
23,23.0,39,13,Blue Joule,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Science and Technology Facilities Council - Daresbury Laboratory,IBM,United Kingdom,2012,Research,131072,0,1431102.0,1677722.0,0,0,657.0,2178.24,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
24,18.0,40,69,Spirit,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Air Force Research Laboratory,SGI,United States,2012,Government,73584,0,1415470.0,1530547.2,3128832,0,1606.0,881.36,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Redhat Enterprise Linux 6,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
25,19.0,42,19,ARCHER,"Cray XC30, Intel Xeon E5 v2 12C 2.700GHz, Aries interconnect ",EPSRC/University of Edinburgh,Cray Inc.,United Kingdom,2013,Research,76192,0,1367550.0,1645747.0,3369576,0,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
26,20.0,39,9,Curie thin nodes,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",CEA/TGCC-GENCI,Bull SA,France,2012,Research,77184,0,1359000.0,1667174.0,5757528,0,2251.0,603.73,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
27,31.0,42,31,,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR",Max-Planck-Gesellschaft MPI/IPP,IBM,Germany,2013,Research,65320,0,1283311.9,1463168.0,0,0,1260.0,1018.5,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe
28,21.0,35,2,Nebulae,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",National Supercomputing Centre in Shenzhen (NSCS),Dawning,China,2010,Research,120640,64960,1271000.0,2984300.0,2359296,0,2580.0,492.64,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Dawning TC3600 Blade System,Dawning Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
29,22.0,40,13,Yellowstone,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",NCAR (National Center for Atmospheric Research),IBM,United States,2012,Research,72288,0,1257615.0,1503590.0,0,0,1436.72,875.34,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
31,25.0,36,44,Garnet,"Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect",ERDC DSRC,Cray Inc.,United States,2010,Research,150528,0,1167000.0,1505280.0,5685504,0,,,MPP,Opteron 16C 2.5GHz,AMD x86_64,2500,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas
32,26.0,37,6,Cielo,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom",DOE/NNSA/LANL/SNL,Cray Inc.,United States,2011,Research,142272,0,1110000.0,1365811.2,4389336,0,3980.0,278.89,MPP,Opteron 6136 8C 2.4GHz,AMD x86_64,2400,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas
34,28.0,36,5,Hopper,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom",DOE/SC/LBNL/NERSC,Cray Inc.,United States,2010,Research,153408,0,1054000.0,1288627.2,4537344,0,2910.0,362.2,MPP,Opteron 6172 12C 2.1GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas
35,29.0,36,6,Tera-100,Bull bullx super-node S6010/S6030,Commissariat a l'Energie Atomique (CEA),Bull SA,France,2010,Research,138368,0,1050000.0,1254550.0,4926336,0,4590.0,228.76,Cluster,Xeon X7560 8C 2.26GHz,Intel Nehalem,2260,Linux,Linux,None,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010/S6030,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
