Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
203,265.0,34,74,,"xSeries iDataPlex, Xeon E5645 6C 2.400GHz, Infiniband",University of Southampton,IBM,United Kingdom,2009,Academic,11088,0,94692.63,106444.8,88.96,0,0,,,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,Northern Europe,Europe
211,136.0,37,97,,"Inspur TS10000 HPC Server, Xeon X56xx 2.93 Ghz, QDR Infiniband",Tsinghua University,Inspur,China,2011,Academic,9216,0,92420.0,107299.0,86.13,1729280,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
221,,39,221,Boomer,"Dell R620/R720, Xeon E5-2650 8C 2.000GHz, Infiniband QDR, NVIDIA 2070",University of Oklahoma,Dell,United States,2012,Academic,6400,504,91620.0,108560.64,84.4,1172264,351624,158.1,579.51,Cluster,Xeon E5-2650 8C 2.000GHz,Intel SandyBridge,2000,Linux,Linux,NVIDIA 2070,8,Intel Xeon E5,Dell R620/R720,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
224,,39,224,Virgo,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Indian Institute of Technology Madras,IBM,India,2012,Academic,4704,0,91126.0,97843.0,93.13,0,0,97.71,932.62,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,South-central Asia,Asia
232,,39,232,Formosa 5,"Hybrid Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA 2070",National Center for High Performance Computing,Self-made,Taiwan,2012,Academic,4968,3864,89940.0,155079.0,58.0,989184,0,110.0,817.64,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),Hybrid Cluster,NOW - Intel,Infiniband,Infiniband QDR,Eastern Asia,Asia
236,142.0,36,83,,Cray XE6 8-core 2.3 GHz,University of Alaska - Arctic Region Supercomputing Center,Cray Inc.,United States,2010,Academic,11648,0,88920.0,107161.6,82.98,0,0,,,MPP,Opteron 6134 8C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Custom Interconnect,Custom,North America,Americas
248,151.0,36,88,,"HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR",iVEC,Hewlett-Packard,Australia,2010,Academic,9600,0,87198.7,107520.0,81.1,0,0,,,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Australia and New Zealand,Oceania
256,154.0,36,90,CHEOPS,"Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband","University of Cologne, Regional Computing Centre",Bull SA,Germany,2010,Academic,9376,0,85900.0,100171.0,85.75,1446480,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Bullx Blade/Supernode,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
277,,39,277,,"Cluster Platform SL390s G7, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2090",California institute of Technology,Hewlett-Packard,United States,2012,Academic,6660,2880,83158.0,159919.0,52.0,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
291,,39,291,N8,"Raackable Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Leeds N8,SGI,United Kingdom,2012,Academic,5088,0,81170.8,105830.0,76.7,1487360,0,180.0,450.95,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cell OS,Unix,None,8,Intel Xeon E5,Raackable Cluster,Rackable Cluster,Infiniband,Infiniband QDR,Northern Europe,Europe
297,178.0,38,178,KillDevil,"PowerEdge C6100 Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR",University of North Carolina,Dell,United States,2011,Academic,8040,0,79800.0,94228.8,84.69,1800000,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,RedHat Enterprise 5,Linux,None,6,Xeon 5600-series (Westmere-EP),PowerEdge C6100 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
300,,39,300,Oakley,"Cluster Platform SL390s G7, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2070",Ohio Supercomputer Center,Hewlett-Packard,United States,2012,Academic,8280,0,79320.0,88099.2,90.03,1859200,0,225.0,352.53,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
303,181.0,33,46,,"Power 575, p6 4.7 GHz, Infiniband",CINECA,IBM,Italy,2009,Academic,5376,0,78680.0,101068.8,77.85,907199,0,859.0,91.59,MPP,POWER6 2C 4.700GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,Southern Europe,Europe
312,185.0,33,47,T2K Open Supercomputer,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","Center for Computational Sciences, University of Tsukuba",Appro International,Japan,2009,Academic,10368,0,77280.0,95385.0,81.02,1562400,0,671.0,115.17,Cluster,Opteron Quad Core 4C 2.300GHz,AMD x86_64,2300,Redhat Linux,Linux,None,4,Opteron Quad Core,Appro XtremeServers,Appro XtremeServer,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
314,187.0,34,63,Colosse,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",CLUMEQ - Universit Laval,Sun Microsystems,Canada,2009,Academic,7616,0,77170.0,85299.0,90.47,1160376,0,332.0,232.44,Cluster,Xeon X5560 4C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),Sun Blade 6048,Sun Blade System,Infiniband,Infiniband,North America,Americas
319,189.0,38,189,Orcinus,"Cluster Platform 3000 BL 2x220, Xeon X5650/E5450 4C 3.00 GHz, Infiniband QDR",Compute Canada/WestGrid/University of British Columbia,Hewlett-Packard,Canada,2011,Academic,9600,0,76658.0,106322.0,72.1,0,0,,,Cluster,Xeon E5450 4C 3.000GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
335,,39,335,,"Power 775, POWER7 8C 3.836GHz, Custom",Slovak Academy of Sciences (SAV),IBM,Slovak Republic,2012,Academic,3072,0,76533.0,94274.0,81.18,0,0,188.05,406.98,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom,Eastern Europe,Europe
336,202.0,33,49,,Cray XT5/XT4 QC 2.3 GHz,CSC (Center for Scientific Computing),Cray Inc.,Finland,2009,Academic,10864,0,76510.0,101996.8,75.01,0,0,520.0,147.13,MPP,Opteron Quad Core 4C 2.300GHz,AMD x86_64,2300,CNL,Linux,None,4,Opteron Quad Core,Cray XT5 QuadCore,Cray XT,Proprietary Network,XT4 Internal Interconnect,Northern Europe,Europe
345,208.0,37,124,Rossmann,"HP Cluster Platform 4000 DL165 G7 Cluster, Opteron 12-core 2.1 Ghz, 10G",Purdue University,Hewlett-Packard,United States,2011,Academic,11064,0,75425.8,95961.6,78.6,0,0,,,Cluster,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",HP Cluster Platform 4000 DL165 G7 Cluster,HP Cluster Platform 4000,Gigabit Ethernet,10G Ethernet,North America,Americas
346,209.0,37,125,,"Cluster Platform 3000 BL280c G6, Xeon X55xx 2.8Ghz, Infiniband",University of Minnesota/Supercomputing Institute,Hewlett-Packard,United States,2011,Academic,8568,0,75425.8,95961.6,78.6,0,0,,,Cluster,Xeon X5560 4C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),Cluster Platform 3000 BL280c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband,North America,Americas
358,,39,358,ALTAMIRA,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Universidad de Cantabria - SSC,IBM,Spain,2012,Academic,3840,0,74389.0,79872.0,93.14,0,0,79.76,932.66,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe
367,221.0,37,131,,"Hitachi SR16000 Model XM1/108, Power7 3.3Ghz, Infiniband",Yukawa Institute for Theoretical Physics (YITP),Hitachi,Japan,2011,Academic,3456,0,73350.0,91238.4,80.39,1045440,0,129.6,565.97,MPP,POWER7 8C 3.300GHz,Power,3300,AIX,Unix,None,8,POWER7,Hitachi SR16000 Model XM1/108,Hitachi SR16000,Infiniband,Infiniband,Eastern Asia,Asia
371,225.0,29,7,,eServer Blue Gene Solution,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,United States,2007,Academic,32768,0,73032.0,91750.0,79.6,884735,0,358.0,204.0,MPP,PowerPC 440 2C 700MHz,Power,700,CNK/SLES 9,Mixed,None,2,PowerPC 440,BlueGene/L,IBM BlueGene,Proprietary Network,Proprietary,North America,Americas
375,228.0,37,136,Magerit,"BladeCenter PS702 Express, Power7 3.3GHz, Infiniband",CeSViMa - Centro de Supercomputacin y Visualizacin de Madrid,IBM,Spain,2011,Academic,3920,0,72030.0,103488.0,69.6,0,0,154.0,467.73,Cluster,POWER7 8C 3.300GHz,Power,3300,Linux,Linux,None,8,POWER7,"BladeCenter PS702 Express, POWER7",IBM BladeCenter,Infiniband,Infiniband,Southern Europe,Europe
376,229.0,37,137,,"iDataPlex DX360M3, Xeon 2.66, Infiniband",RQCHP/Calcul Quebec/Compute Canada Universit de Montral,IBM,Canada,2011,Academic,7560,0,71557.5,80438.4,88.96,0,0,197.79,361.79,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
377,230.0,38,230,,"BlueGene/P, PowerPC 450 4C 850 MHz, Proprietary",Rice University,IBM,United States,2011,Academic,24576,0,71440.0,83558.0,85.5,0,0,189.0,377.99,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,North America,Americas
384,235.0,37,148,Dawson2,"HP ProLiant SL390s G7 Xeon X5650, Nvidia M2070, Infiniband QDR","University of California, Los Angeles",Hewlett-Packard,United States,2011,Academic,5184,4032,70280.0,160577.28,43.77,717910,0,96.03,731.85,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
397,,39,397,BuTinah,"Cluster Platform SL390/BL2x220, Xeon X5675 6C 3.06GHz, Infiniband QDR",New York University at Abu Dhabi,Hewlett-Packard,United Arab Emirates,2012,Academic,6432,0,69359.1,78728.0,88.1,1516552,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390/BL2x220,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Western Asia,Asia
412,253.0,29,8,Abe,"PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",NCSA,Dell,United States,2007,Academic,9600,0,68480.0,89587.2,76.44,1008384,0,,,Cluster,Xeon E5345 4C 2.333GHz,Intel Core,2333,Linux,Linux,None,4,"Xeon 5300-series ""Clovertown""",PowerEdge 1955,Dell PowerEdge Cluster,Infiniband,Infiniband SDR,North America,Americas
414,254.0,36,111,Hrothgar,"Poweredge Cluster, Xeon X5660 2.8Ghz, Infiniband DDR",Texas Tech University,Dell,United States,2010,Academic,7524,0,68270.0,84538.0,80.76,1270976,0,,,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),PowerEdge R410 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband DDR,North America,Americas
416,,39,416,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",University of Chicago,IBM,United States,2012,Academic,3520,0,68190.0,73216.0,93.14,0,0,73.12,932.58,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
420,259.0,36,112,Trestles,"Appro 1U-1143H Cluster, Opteron 8C 2.4Ghz, Infiniband QDR",UCSD/San Diego Supercomputer Center,Appro International,United States,2010,Academic,10112,0,67320.0,99532.8,67.64,1200000,0,,,Cluster,Opteron 6136 8C 2.400GHz,AMD x86_64,2400,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Appro Opteron Cluster,Appro Cluster,Infiniband,Infiniband QDR,North America,Americas
447,279.0,37,163,Galera Plus,ACTION Xeon HP BL2x220/BL490 E5345/L5640 Infiniband,"Gdansk University of Technology, CI Task",ACTION,Poland,2011,Academic,10384,0,65588.0,97758.0,67.09,998000,0,,,Cluster,Xeon L5640 6C 2.260GHz,Intel Nehalem,2260,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),ACTION Cluster,ACTION Cluster,Infiniband,Infiniband QDR,Eastern Europe,Europe
455,289.0,37,166,SuperMIG,"BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR",Leibniz Rechenzentrum,IBM,Germany,2011,Academic,8000,0,64860.0,76800.0,84.45,1099224,0,195.0,332.62,Cluster,Xeon E7-4870 10C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,10,Xeon E7-x8xx-series (Westmere-EX),BladeCenter HX5,IBM BladeCenter,Infiniband,Infiniband QDR,Western Europe,Europe
456,328.0,37,430,DEGIMA,"DEGIMA Cluster, Intel i5, ATI Radeon GPU, Infiniband QDR",Nagasaki University,Self-made,Japan,2011,Academic,9900,9000,64850.0,138937.0,46.68,0,0,47.05,1378.32,Cluster,Core i5 4C 2.930GHz,Intel Core,2930,Linux,Linux,ATI GPU,4,Core i5,DEGIMA Cluster,NOW - Intel,Infiniband,Infiniband QDR,Eastern Asia,Asia
457,290.0,34,76,Galileu,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",NACAD/COPPE/UFRJ,Sun Microsystems,Brazil,2009,Academic,6464,0,64630.0,72396.8,89.27,1405152,0,430.0,150.3,Cluster,Xeon X5560 4C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),Sun Blade 6048,Sun Blade System,Infiniband,Infiniband,South America,Americas
463,296.0,38,296,Boreas,"Power 775, POWER7 8C 3.836GHz, Custom","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",IBM,Poland,2011,Academic,2560,0,64327.0,78561.0,81.88,0,0,156.71,410.48,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom,Eastern Europe,Europe
465,299.0,28,5,MareNostrum,"BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",Barcelona Supercomputing Center,IBM,Spain,2006,Academic,10240,0,63830.0,94208.0,67.75,0,0,,,Cluster,PowerPC 970 2C 2.300GHz,Power,2300,Linux,Linux,None,2,PowerPC 970,BladeCenter JS21 CLuster,IBM BladeCenter,Myrinet,Myrinet,Southern Europe,Europe
494,326.0,35,89,Ekman,"PowerEdge SC1435 Dual core Opteron 2.2 GHz, Infiniband",KTH - Royal Institute of Technology,Dell,Sweden,2010,Academic,9800,0,61760.0,86024.4,71.79,1450624,0,,,Cluster,Opteron Dual Core 2C 2.200GHz,AMD x86_64,2200,Linux,Linux,None,2,Opteron Dual Core,PowerEdge SC1435,Dell PowerEdge Cluster,Infiniband,Infiniband,Northern Europe,Europe
497,329.0,34,313,Tsessebe,"Blade X6275/ PowerEdge C6100 Cluster, Xeon X5570/X5670/ 4C 2.93 GHz, Infiniband QDR",Centre for High Performance Computing,Dell/Oracle,South Africa,2009,Academic,6336,0,61330.0,74257.92,82.59,0,0,,,Cluster,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,CentOS,Linux,None,4,Xeon 5500-series (Nehalem-EP),Blade X6275/ PowerEdge C6100 Cluster,Dell/Sun Cluster,Infiniband,Infiniband QDR,Southern Africa,Africa
